n,escenario,objetivo,algoritmo,repeticion,posicion,comparaciones,tiempo_ns
1000,ausente,18288.0,Lineal,22,-1,1000,35400
1000,ausente,18288.0,Lineal,23,-1,1000,35700
1000,ausente,18288.0,Lineal,24,-1,1000,35300
1000,ausente,18288.0,Lineal,25,-1,1000,35600
1000,ausente,18288.0,Lineal,26,-1,1000,35900
1000,ausente,18288.0,Lineal,27,-1,1000,35600
1000,ausente,18288.0,Lineal,28,-1,1000,34700
1000,ausente,18288.0,Lineal,29,-1,1000,35900
1000,ausente,18288.0,Lineal,30,-1,1000,36500
1000,ausente,18288.0,Binaria,1,-1,10,2600
1000,ausente,18288.0,Binaria,2,-1,10,1300
1000,ausente,18288.0,Binaria,3,-1,10,1200
1000,ausente,18288.0,Binaria,4,-1,10,1100
1000,ausente,18288.0,Binaria,5,-1,10,1100
1000,ausente,18288.0,Binaria,6,-1,10,1100
1000,ausente,18288.0,Binaria,7,-1,10,1100
1000,ausente,18288.0,Binaria,8,-1,10,1100
1000,ausente,18288.0,Binaria,9,-1,10,1100
1000,ausente,18288.0,Binaria,10,-1,10,1100
1000,ausente,18288.0,Binaria,11,-1,10,1000
1000,ausente,18288.0,Binaria,12,-1,10,1100
1000,ausente,18288.0,Binaria,13,-1,10,1100
1000,ausente,18288.0,Binaria,14,-1,10,1000
1000,ausente,18288.0,Binaria,15,-1,10,1100
1000,ausente,18288.0,Binaria,16,-1,10,1000
1000,ausente,18288.0,Binaria,17,-1,10,1100
1000,ausente,18288.0,Binaria,18,-1,10,1100
1000,ausente,18288.0,Binaria,19,-1,10,1100
1000,ausente,18288.0,Binaria,20,-1,10,1100
1000,ausente,18288.0,Binaria,21,-1,10,1100
1000,ausente,18288.0,Binaria,22,-1,10,1100
1000,ausente,18288.0,Binaria,23,-1,10,1100
1000,ausente,18288.0,Binaria,24,-1,10,1000
1000,ausente,18288.0,Binaria,25,-1,10,1200
1000,ausente,18288.0,Binaria,26,-1,10,1100
1000,ausente,18288.0,Binaria,27,-1,10,1100
1000,ausente,18288.0,Binaria,28,-1,10,1000
1000,ausente,18288.0,Binaria,29,-1,10,1200
1000,ausente,18288.0,Binaria,30,-1,10,1000
10000,inicio,17850.0,Lineal,1,0,1,3100
10000,inicio,17850.0,Lineal,2,0,1,600
10000,inicio,17850.0,Lineal,3,0,1,400
10000,inicio,17850.0,Lineal,4,0,1,300
